"firstname"_"surname"
"Arthur"_"Ashkin"
"Gérard"_"Mourou"
"Donna"_"Strickland"
"Frances H."_"Arnold"
"George P."_"Smith"
"Sir Gregory P."_"Winter"
"James P."_"Allison"
"Tasuku"_"Honjo"
"Denis"_"Mukwege"
"Nadia"_"Murad"
"William D."_"Nordhaus"
"Paul M."_"Romer"
"Rainer"_"Weiss"
"Barry C."_"Barish"
"Kip S."_"Thorne"
"Jacques"_"Dubochet"
"Joachim"_"Frank"
"Richard"_"Henderson"
"Jeffrey C."_"Hall"
"Michael"_"Rosbash"
"Michael W."_"Young"
"Kazuo"_"Ishiguro"
"International Campaign to Abolish Nuclear Weapons (ICAN)"_NA
"Richard H."_"Thaler"
"David J."_"Thouless"
"F. Duncan M."_"Haldane"
"J. Michael"_"Kosterlitz"
"Jean-Pierre"_"Sauvage"
"Sir J. Fraser"_"Stoddart"
"Bernard L."_"Feringa"
"Yoshinori"_"Ohsumi"
"Bob"_"Dylan"
"Juan Manuel"_"Santos"
"Oliver"_"Hart"
"Bengt"_"Holmström"
"Takaaki"_"Kajita"
"Arthur B."_"McDonald"
"Tomas"_"Lindahl"
"Paul"_"Modrich"
"Aziz"_"Sancar"
"William C."_"Campbell"
"Satoshi"_"Ōmura"
"Youyou"_"Tu"
"Svetlana"_"Alexievich"
"National Dialogue Quartet"_NA
"Angus"_"Deaton"
"Isamu"_"Akasaki"
"Hiroshi"_"Amano"
"Shuji"_"Nakamura"
"Eric"_"Betzig"
"Stefan W."_"Hell"
"William E."_"Moerner"
"John"_"O'Keefe"
"May-Britt"_"Moser"
"Edvard I."_"Moser"
"Patrick"_"Modiano"
"Kailash"_"Satyarthi"
"Malala"_"Yousafzai"
"Jean"_"Tirole"
"François"_"Englert"
"Peter W."_"Higgs"
"Martin"_"Karplus"
"Michael"_"Levitt"
"Arieh"_"Warshel"
"James E."_"Rothman"
"Randy W."_"Schekman"
"Thomas C."_"Südhof"
"Alice"_"Munro"
"Organisation for the Prohibition of Chemical Weapons (OPCW)"_NA
"Eugene F."_"Fama"
"Lars Peter"_"Hansen"
"Robert J."_"Shiller"
"Serge"_"Haroche"
"David J."_"Wineland"
"Robert J."_"Lefkowitz"
"Brian K."_"Kobilka"
"Sir John B."_"Gurdon"
"Shinya"_"Yamanaka"
"Mo"_"Yan"
"European Union (EU)"_NA
"Alvin E."_"Roth"
"Lloyd S."_"Shapley"
"Saul"_"Perlmutter"
"Brian P."_"Schmidt"
"Adam G."_"Riess"
"Dan"_"Shechtman"
"Bruce A."_"Beutler"
"Jules A."_"Hoffmann"
"Ralph M."_"Steinman"
"Tomas"_"Tranströmer"
"Ellen"_"Johnson Sirleaf"
"Leymah"_"Gbowee"
"Tawakkol"_"Karman"
"Thomas J."_"Sargent"
"Christopher A."_"Sims"
"Andre"_"Geim"
"Konstantin"_"Novoselov"
"Richard F."_"Heck"
"Ei-ichi"_"Negishi"
"Akira"_"Suzuki"
"Robert G."_"Edwards"
"Mario"_"Vargas Llosa"
"Liu"_"Xiaobo"
"Peter A."_"Diamond"
"Dale T."_"Mortensen"
"Christopher A."_"Pissarides"
"Charles Kuen"_"Kao"
"Willard S."_"Boyle"
"George E."_"Smith"
"Venkatraman"_"Ramakrishnan"
"Thomas A."_"Steitz"
"Ada E."_"Yonath"
"Elizabeth H."_"Blackburn"
"Carol W."_"Greider"
"Jack W."_"Szostak"
"Herta"_"Müller"
"Barack H."_"Obama"
"Elinor"_"Ostrom"
"Oliver E."_"Williamson"
"Yoichiro"_"Nambu"
"Makoto"_"Kobayashi"
"Toshihide"_"Maskawa"
"Osamu"_"Shimomura"
"Martin"_"Chalfie"
"Roger Y."_"Tsien"
"Harald"_"zur Hausen"
"Françoise"_"Barré-Sinoussi"
"Luc"_"Montagnier"
"Jean-Marie Gustave"_"Le Clézio"
